Dep.,code,ColorT1,Color_hachT1,Abs_Commune
16,16170,orange,hach_bleuemarine,40.4
16,16171,orange,hach_bleuemarine,50.8
16,16173,rose,hach_orange,50
16,16174,bleuemarine,hach_orange,53.9
16,16175,orange,hach_bleuemarine,51.6
16,16176,orange,hach_bleuemarine,46.1
16,16177,orange,hach_bleue,38.6
16,16178,bleuemarine,hach_rouge,43.2
16,16180,bleuemarine,hach_rouge,47
16,16181,rose,hach_bleuemarine,44.4
16,16182,rose,hach_bleuemarine,45.5
16,16183,rose,hach_bleuemarine,46.6
16,16184,rose,hach_bleuemarine,36.5
16,16185,orange,hach_rose,37.3
16,16186,orange,hach_bleuemarine,52.3
16,16187,orange,hach_rose,43.7
16,16188,bleuemarine,hach_rose,50.4
16,16189,grise,hach_orange,43.1
16,16190,bleuemarine,hach_rose,44.9
16,16191,rose,hach_bleuemarine,42.9
16,16192,bleuemarine,hach_rose,51.4
16,16193,bleuemarine,hach_orange,53.2
16,16194,rose,hach_rose,44.9
16,16195,bleuemarine,hach_rose,59.1
16,16196,rose,hach_bleuemarine,46.6
16,16197,rose,hach_grise,50
16,16198,bleuemarine,hach_orange,49.5
16,16199,orange,hach_rouge,47.4
16,16200,bleuemarine,hach_rose,44.1
16,16203,bleuemarine,hach_orange,37.9
16,16204,orange,hach_bleuemarine,58.1
16,16205,rouge,hach_rose,51.8
16,16206,orange,hach_bleuemarine,49.6
16,16207,bleuemarine,hach_rose,52.5
16,16208,bleuemarine,hach_rose,53.2
16,16209,bleuemarine,hach_orange,41.2
16,16210,rouge,hach_bleuemarine,41.9
16,16211,bleuemarine,hach_orange,48.3
16,16212,bleuemarine,hach_rose,46.4
16,16213,orange,hach_bleuemarine,46.6
16,16215,bleuemarine,hach_orange,54.5
16,16216,orange,hach_bleuemarine,47.9
16,16217,bleuemarine,hach_orange,52.9
16,16218,bleuemarine,hach_rouge,49
16,16220,bleuemarine,hach_orange,53.3
16,16221,bleuemarine,hach_orange,48.1
16,16222,rouge,hach_orange,48
16,16223,orange,hach_bleuemarine,48.9
16,16224,orange,hach_rouge,54.6
16,16225,rouge,hach_bleuemarine,46
16,16226,rouge,hach_rose,50.1
16,16227,bleuemarine,hach_orange,35.1
16,16229,rose,hach_orange,51.9
16,16230,orange,hach_bleuemarine,47.7
16,16231,rose,hach_rose,34.3
16,16232,rouge,hach_orange,49.9
16,16233,rouge,hach_orange,48.4
16,16234,orange,hach_rose,50.4
16,16236,orange,hach_rouge,51
16,16237,rouge,hach_orange,44.3
16,16238,rose,hach_rose,37.9
16,16239,rouge,hach_rose,47.2
16,16240,rouge,hach_orange,27.7
16,16241,rouge,hach_bleuemarine,43.8
16,16242,grise,hach_rose,47.5
16,16243,orange,hach_bleuemarine,48.1
16,16244,orange,hach_bleuemarine,53.5
16,16245,bleuemarine,hach_rose,53.1
16,16246,rouge,hach_orange,45.5
16,16248,orange,hach_rose,50.3
16,16249,bleuemarine,hach_rose,54.3
16,16250,orange,hach_bleuemarine,42.3
16,16251,bleuemarine,hach_orange,44.6
16,16252,orange,hach_bleuemarine,43.4
16,16253,rose,hach_orange,43.5
16,16254,rouge,hach_bleuemarine,50.2
16,16255,rose,hach_rose,46.8
16,16256,bleuemarine,hach_orange,46.5
16,16258,orange,hach_rouge,52.6
16,16260,orange,hach_bleuemarine,45.9
16,16261,bleuemarine,hach_rose,43.9
16,16263,rouge,hach_orange,51.3
16,16264,rouge,hach_grise,42.9
16,16267,bleue,hach_bleuemarine,47.2
16,16268,grise,hach_rose,43.3
16,16269,bleuemarine,hach_orange,47.9
16,16270,rose,hach_rose,40.8
16,16271,orange,hach_rouge,42.2
16,16272,rose,hach_bleuemarine,46.2
16,16273,orange,hach_rose,38.1
16,16275,bleuemarine,hach_rose,36.4
16,16276,orange,hach_bleuemarine,48.8
16,16277,bleuemarine,hach_orange,51.3
16,16279,rouge,hach_bleuemarine,47
16,16280,bleuemarine,hach_orange,49.3
16,16281,orange,hach_bleuemarine,51.6
16,16282,orange,hach_bleuemarine,47.2
16,16283,orange,hach_rouge,47.7
16,16284,bleuemarine,hach_rouge,43.1
16,16285,orange,hach_rouge,43
16,16286,bleuemarine,hach_orange,56.4
16,16287,orange,hach_bleuemarine,52.7
16,16289,rouge,hach_orange,48.9
16,16290,orange,hach_rose,47.7
16,16291,orange,hach_rouge,53.6
16,16292,grise,hach_rose,51.4
16,16293,orange,hach_bleuemarine,41.8
16,16295,bleuemarine,hach_rose,53.7
16,16297,orange,hach_bleuemarine,46.9
16,16298,bleuemarine,hach_orange,55.8
16,16300,bleuemarine,hach_orange,50.4
16,16301,bleuemarine,hach_bleue,46.1
16,16302,bleuemarine,hach_rouge,47
16,16303,bleuemarine,hach_rouge,54.9
16,16304,orange,hach_rouge,42.8
16,16306,rose,hach_rose,37.9
16,16307,rouge,hach_rose,54.2
16,16308,orange,hach_rose,53.2
16,16310,rose,hach_bleuemarine,42.2
16,16312,orange,hach_bleuemarine,54.8
16,16315,orange,hach_bleue,31.1
